topic,thread_id,comment_id,reply_to,comment_level,comment,argumentation,constructiveness,positive_stance,negative_stance,target_person,target_group,stereotype,sarcasm,mockery,insult,improper_language,aggressiveness,intolerance,toxicity,toxicity_level
CR,0_000,0_002,0_002,1,Pensó: Zumo para restar.,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
CR,0_001,0_003,0_003,1,Como les gusta el afeitado en seco a esta gente.,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1
CR,0_002,0_004,0_004,1,"asi me gusta, que se maten entre ellos y en alta mar. Mas inmigrantes asi porfavor",0,0,0,0,0,1,0,0,0,0,0,1,1,1,2
CR,0_003,0_005,0_005,1,"Loss mas valientes, los que mejor cortan nuestras cabezas, Para vosotros, socialistas, izquierdistas, y no racistas, ",0,0,0,0,1,1,0,1,1,0,0,0,0,1,1
CR,0_004,0_006,0_006,1,Costumbres...,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1
CR,0_005,0_007,0_007,1,lastima que no se volvio loco del todo y se suicido de paso..,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2
CR,0_006,0_008,0_008,1,"los mejores mas preparados para cortar calabacines, este trabaja nada mas tocar tierra.",0,0,0,0,1,1,0,1,1,0,0,0,0,1,1
CR,0_007,0_009,0_009,1,Los más preparados,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
CR,0_008,0_010,0_010,1,"hombre preparado viene para currar en un matadero, o dejarle de cocinero jefe en la sede del psoe",0,0,0,0,1,1,0,1,1,0,0,0,0,1,2
CR,0_009,0_013,0_013,1,"Los detuvieron en ronda malaga, un saludo",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CR,0_010,0_014,0_014,1,"piensan que deben sacrificar un alma a cambio de sobrevivir. El otro día una mujer lanzó al mar a su bebé de pocos meses, como sacrificio",1,0,0,0,0,1,1,0,1,0,0,1,0,1,2
CR,0_011,0_015,0_015,1,Venid ya,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CR,0_012,0_016,0_016,1,Que sea bienvenido pues.,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CR,0_013,0_017,0_017,1,El voluntario de Cruz Roja que lo atendió al llegar a la costa andaluza se quedó atónito. Nunca había escuchado algo parecido. No saben ni por donde les da el viento,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
